N,P,K,temperature,humidity,ph,rainfall,label,Kc,sfi,pet,smd,thi,sqi,CWR
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,1.2,58.333333333333336,0.16585713864930438,-202.7696790613507,68.41736262927081,379.3408087000001,0.19902856637916524
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,1.2,61.333333333333336,0.17325785613306094,-226.48227954386692,69.73629794846076,431.66991014133333,0.20790942735967313
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,1.2,53.0,0.18365452721818964,-263.7805930727818,71.88682373569885,415.530978632,0.22038543266182756
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,1.2,49.666666666666664,0.2139214806307493,-242.65011271936925,77.28490193938481,346.6932449483333,0.25670577675689915
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,1.2,54.0,0.15969694815020924,-262.55764355184976,67.18024173308976,411.937536114,0.19163633778025108
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,1.2,49.333333333333336,0.1841097962171985,-250.8708900037828,72.06466438611895,348.9570394813333,0.2209317554606382
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,1.2,54.0,0.18114870778384728,-271.14371169221613,71.43344539589613,307.84350672,0.21737844934061673
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,1.2,62.333333333333336,0.16090480687012937,-241.81329009312986,67.49449675839003,356.4610940953333,0.19308576824415524
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,1.2,60.333333333333336,0.19661431387393047,-230.24962158612607,74.46302731798087,403.349234248,0.23593717664871655
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,1.2,54.666666666666664,0.18552139142392415,-221.02367440857608,72.30600932565288,346.3818593666667,0.22262566970870898
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,1.2,61.333333333333336,0.21424201087451536,-264.4006276891255,77.49548443010238,330.35162433066665,0.25709041304941843
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,1.2,59.333333333333336,0.19198231615079278,-249.89125128384921,73.38532571616358,445.1681482933334,0.23037877938095133
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,1.2,60.0,0.21667283015468367,-284.21978386984534,77.87124990294657,306.52090716,0.2600073961856204
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,1.2,61.666666666666664,0.19229187479499713,-185.085047025205,73.50172968836888,430.7018090333333,0.23075024975399655
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,1.2,60.333333333333336,0.20663983184108461,-209.38033096815892,76.02015168953027,419.19719641,0.24796779820930154
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,1.2,49.0,0.1945935370432585,-230.89174116295675,73.7610222077643,345.07265438099995,0.23351224445191018
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,1.2,54.666666666666664,0.17172737489825346,-276.4835185251017,69.61979192526029,341.6147691946667,0.20607284987790414
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,1.2,55.0,0.19039294053559722,-206.07079255946442,72.98955476446397,383.39728647,0.22847152864271664
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,1.2,50.333333333333336,0.17405057755220302,-224.38096632244782,69.87875958008722,299.68130822533334,0.20886069306264363
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,1.2,54.333333333333336,0.188555531577219,-291.1101062684229,72.93641976133395,318.0636430133333,0.22626663789266277
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,1.2,56.666666666666664,0.16954608055673795,-185.32792711944327,69.03294412963686,365.0736045833333,0.20345529666808554
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,1.2,53.0,0.2021901064921172,-231.18212619350788,75.46725287475948,268.719310351,0.2426281277905406
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,1.2,55.666666666666664,0.1747406030721922,-213.18135149692782,70.06977011090075,334.7032142323333,0.20968872368663063
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,1.2,55.666666666666664,0.16728598937468714,-232.94029561062533,68.74223798951454,348.14091710566663,0.20074318724962456
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,1.2,60.666666666666664,0.18773796964397546,-223.87037843035603,72.57515701012,447.4459596273333,0.22528556357277055
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,1.2,53.333333333333336,0.20147656669612526,-256.8024099333039,75.05694538429645,414.87547488,0.2417718800353503
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,1.2,66.33333333333333,0.2127534457253888,-271.1458602542746,77.53847177928216,417.0045116746667,0.25530413487046655
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,1.2,62.666666666666664,0.19672985156001843,-260.06667274844,74.18196573971261,443.11349301999996,0.2360758218720221
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,1.2,51.0,0.16499887455985007,-239.91606582544017,68.4079837790585,318.486916041,0.19799864947182008
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,1.2,56.666666666666664,0.17771217479735893,-197.80140932520263,70.61341798103099,342.4539442766666,0.21325460975683072
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,1.2,57.0,0.1705563855075097,-272.0311640144925,69.54282730636336,332.00841966900003,0.20466766260901165
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,1.2,55.666666666666664,0.17668410969345105,-199.91159459030655,70.39268093113259,353.89467470733337,0.21202093163214125
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice,1.2,53.666666666666664,0.19671782270908747,-224.47900527729095,74.40172416670322,341.5419099493333,0.23606138725090495
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,1.2,63.0,0.16081741155676063,-270.2809099884432,67.40348026640092,315.91395801,0.19298089386811276
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,1.2,62.0,0.20725095436126986,-232.92488624563873,76.49680332450842,381.263457882,0.24870114523352382
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,1.2,64.0,0.21662426457712608,-193.1307744354229,78.01880552443598,380.842275584,0.2599491174925513
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice,1.2,63.666666666666664,0.21628795129057649,-272.0836176487095,77.83755703116182,379.47689388366666,0.25954554154869175
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,1.2,56.666666666666664,0.1909884071419705,-285.05837609285805,73.35961890973246,315.14592304666667,0.22918608857036457
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice,1.2,49.0,0.1670121187572674,-298.2348349812428,68.70653559166966,363.39601024300003,0.20041454250872087
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,1.2,49.333333333333336,0.19365247950605072,-256.8407029204939,73.92119245179327,275.4462554053334,0.23238297540726086
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,1.2,46.666666666666664,0.18176237053915115,-248.53656042946085,71.50339935513404,300.06714336666664,0.21811484464698136
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,1.2,50.666666666666664,0.20632338602049835,-209.6938743139795,76.28391657882416,280.43382657066667,0.247588063224598
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,1.2,59.666666666666664,0.2060360211883271,-200.62886197881167,75.85152510030814,411.937830498,0.2472432254259925
82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,rice,1.2,54.0,0.19070831231156576,-298.3694091876884,73.46303502564413,338.65985725199994,0.22884997477387892
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,1.2,60.666666666666664,0.21234880413920976,-265.3232448958608,77.26368061349025,438.2733205153333,0.2548185649670517
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,1.2,54.666666666666664,0.19992366459463393,-183.47939703540538,74.77085278107887,335.34103414666663,0.2399083975135607
76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,rice,1.2,55.666666666666664,0.2004587242371785,-196.75554207576286,75.28704102450428,289.8214388503333,0.2405504690846142
74,39,38,23.24113501,84.59201843,7.782051312999999,233.0453455,rice,1.2,50.333333333333336,0.185667559443793,-232.8596779405562,72.47180256508038,391.6965827543333,0.22280107133255161
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,1.2,53.666666666666664,0.17238776129828093,-210.64182093870173,69.59761468025636,379.0358071383333,0.2068653135579371
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,1.2,62.666666666666664,0.1976500979182617,-253.52262800208175,74.33905463238526,484.43638363733334,0.23718011750191403
60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,rice,1.2,46.333333333333336,0.18728871419543477,-219.71754618580457,72.64658517237379,244.92743860966672,0.22474645703452173
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,1.2,58.333333333333336,0.1590042670090485,-208.42201123299097,66.97229499789619,394.6973359583333,0.19080512041085818
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,1.2,63.666666666666664,0.19093634178089444,-194.9038947582191,73.26207713562565,470.0358857243333,0.22912361013707333
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,rice,1.2,56.0,0.17494442190739456,-227.1887564780926,70.17899629624773,316.85749099200007,0.20993330628887347
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,rice,1.2,61.0,0.2116024798103528,-286.2967700201896,77.30046781542056,338.14497451799997,0.25392297577242334
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,1.2,50.666666666666664,0.18742150300756877,-283.7464250969924,72.82848782716317,314.89889222666665,0.22490580360908252
